uid,Name,中文名 ,分类学地位 ,Class,活病毒培养、感染性材料核酸提取,动物感染 ,未灭活样本的检测、诊断 ,已确认灭活材料的实验操作 ,重组病毒,Note
119,Epstein-barr virus ,EB 病毒 ,疱疹病毒科/gamma 疱疹病毒亚科 a ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
120,"Feline leukemia virus, FeSV ",猫白血病病毒 ,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
121,"Feline sarcoma virus, (FeSV) ",猫肉瘤病毒,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1,BSL-2 , 
122,Flanders-Hart Part virus (Zinsser pg777) ,费兰杜-哈特公园病毒,弹状病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
123,"flaviviruses known to be pathogenic, other ",其他的致病黄病毒属的病毒 ,黄病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
124,Gammaherpes virus ,r-疱疹病毒 ,疱疹病毒科/r-疱疹病毒亚科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
125,Guaratuba virus ,瓜纳图巴病毒 ,X—虫媒病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
126,Hart Park virus ,Hart Park 病毒 ,弹状病毒科 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
127,Hazara virus ,Hazara 病毒,布尼雅病毒科/内罗病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-1 , 
128,Hepatitis A virus ,甲型肝炎病毒 ,小 RNA 病毒科/ 肝病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
129,Hepatitis B virus ,乙型肝炎病毒 ,嗜肝 DNA 病毒科,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,"目前不能培养, 但有产毒细胞系 "
130,Hepatitis C virus ,丙型肝炎病毒 ,黄病毒科/丙型肝炎病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,不能培养 
131,Hepatitis D virus ,丁型肝炎病毒 ,卫星病毒/d 病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, ,不能培养 
132,Hepatitis E virus ,戊型肝炎病毒 ,嵌杯病毒科/嵌杯病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, ,不能培养 
133,Herpes simplex virus ,单纯疱疹病毒 ,疱疹病毒科/a 疱疹病毒亚科 a ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1,BSL-2 ,1 型和 2 型 
134,Herpesvirus ateles ,蜘蛛猴疱疹病毒 ,疱疹病毒科/猴病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
135,Herpesvirus zoster (Varicella) ,带状疱疹病毒 ,疱疹病毒科/a 疱疹病毒亚科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
136,Human B lymphotropic virus ,嗜人 B 淋巴细胞病毒 ,疱疹病毒科/玫瑰疱疹病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
137,human herpes virus-7 ,人疱疹病毒 7 型(HHV-7) ,疱疹病毒科 a ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
138,human herpes virus-8 ,人疱疹病毒 8 型(HHV-8) ,疱疹病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
139,Human T-cell lymphotropic viruses (HTLV)type 1 and 2 ,人 T 细胞白血病病毒 ,逆转录病毒科/致癌病毒亚科/人 T 细胞白血病病毒牛白血病病毒属 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, ,1~3 型(EC1 型和2 型) 
140,Influenza virus ,流行性感冒病毒 ,正黏病毒科/正黏病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 ,甲型、乙型和丙型。疫苗株： A/PR8/34 A/WS/33 可在BSL-1 操作 
141,Kunjin virus ,Kunjin 病毒,黄病毒科/黄病毒属(B 群虫媒病毒),C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
142,La Crosse virus ,La Crpsse 病毒 ,X—虫媒病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
143,Langat virus ,Langat 病毒,X—虫媒病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
144,"Lentivirinae, except HIV-1 and Hl ",慢病毒，除HIV-1 和 Hl 外 ,逆转录病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
145,"leukemia virus, Gibbon (GaLV)",长臂猿白血病病毒 ,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
146,Lymphocytic choriomeningitis virus ,淋巴细胞性脉络丛脑膜炎病毒 ,沙粒病毒属 ,C：其他亲内脏性的(加拿大实验室) ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
147,Measles virus ,麻疹病毒 ,副粘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
148,Metapneumonia ,偏肺病毒 ,副粘病毒科 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
149,Molluscum contagiosum virus ,传染性软疣病毒 ,痘病毒科 ,C ,BSL-2,ABSL-2,BSL-1 ,BSL-1, , 
150,"Morbillivirus, except Rinderpest",麻疹病毒属，除牛疫病毒 ,副粘病毒科/麻疹病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
151,Mouse sarcoma virus ,鼠肉瘤病毒,病毒载体/动物逆转录病毒 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1,BSL-2 , 
152,Mumps virus ,流行性腮腺炎病毒 ,副粘病毒科/副粘病毒属 ,C ,BSL-2,ABSL-2,BSL-2 ,BSL-1, , 
