X,I,T,V
0.161700000000001,5.07624391413716,399999994.218609,0.0188514343244134
0.162400000000001,5.10109484078186,399999994.187576,0.01890513033949
0.163100000000001,5.12600413383535,399999994.156455,0.0189591245546118
0.163800000000001,5.15097221260898,399999994.125244,0.0190134175126114
0.164500000000001,5.17599949680331,399999994.093945,0.0190680097616852
0.165200000000001,5.20108640651638,399999994.062555,0.0191229018553941
0.165900000000001,5.22623336225211,399999994.031074,0.0191780943526644
0.166600000000001,5.25144078492853,399999993.999503,0.0192335878177883
0.167300000000001,5.27670909588616,399999993.96784,0.0192893828204248
0.168000000000001,5.30203871689627,399999993.936084,0.0193454799356007
0.168700000000001,5.32743007016916,399999993.904237,0.0194018797437118
0.169400000000001,5.35288357836247,399999993.872296,0.0194585828305242
0.170100000000001,5.37839966458943,399999993.840262,0.0195155897871752
0.170800000000001,5.40397875242713,399999993.808134,0.0195729012101753
0.171500000000001,5.42962126592479,399999993.775911,0.0196305177014095
0.172200000000001,5.455327629612,399999993.743594,0.0196884398681387
0.172900000000001,5.48109826850694,399999993.71118,0.0197466683230022
0.173600000000001,5.50693360812468,399999993.678671,0.0198052036840189
0.174300000000001,5.53283407448534,399999993.646065,0.0198640465745898
0.175000000000001,5.55880009412235,399999993.613363,0.0199231976234998
0.175700000000001,5.58483209409065,399999993.580562,0.0199826574649201
0.176400000000001,5.61093050197492,399999993.547664,0.0200424267384108
0.177100000000001,5.63709574589778,399999993.514667,0.0201025060889227
0.177800000000001,5.66332825452797,399999993.481571,0.0201628961668006
0.178500000000001,5.68962845708856,399999993.448375,0.0202235976277857
0.179200000000001,5.71599678336514,399999993.415079,0.0202846111330183
0.179900000000001,5.74243366371398,399999993.381683,0.0203459373490408
0.180600000000001,5.76893952907024,399999993.348186,0.020407576947801
0.181300000000001,5.79551481095612,399999993.314587,0.0204695306066547
0.182000000000001,5.82215994148904,399999993.280885,0.0205317990083693
0.182700000000001,5.84887535338979,399999993.247081,0.0205943828411275
0.183400000000001,5.87566147999072,399999993.213174,0.0206572827985298
0.184100000000001,5.90251875524386,399999993.179163,0.0207204995795992
0.184800000000001,5.92944761372907,399999993.145048,0.0207840338887842
0.185500000000001,5.95644849066224,399999993.110829,0.0208478864359626
0.186200000000001,5.98352182190337,399999993.076503,0.020912057936446
0.186900000000001,6.01066804396475,399999993.042072,0.0209765491109831
0.187600000000001,6.03788759401909,399999993.007535,0.0210413606857645
0.188300000000001,6.06518090990766,399999992.972891,0.0211064933924262
0.189000000000001,6.09254843014841,399999992.93814,0.0211719479680549
0.189700000000001,6.11999059394409,399999992.90328,0.0212377251551915
0.190400000000001,6.14750784119041,399999992.868312,0.0213038257018365
0.191100000000001,6.17510061248416,399999992.833236,0.0213702503614541
0.191800000000001,6.20276934913131,399999992.798049,0.0214369998929773
0.192500000000001,6.23051449315512,399999992.762753,0.0215040750608127
0.193200000000001,6.25833648730432,399999992.727346,0.0215714766348457
0.193900000000001,6.28623577506118,399999992.691828,0.0216392053904453
0.194600000000001,6.31421280064963,399999992.656198,0.0217072621084695
